,timestamp,can,sweet,golden,outcome,alone,accident,notes,poop,feed,hour_of_day,golden_0_to_3,can_0_to_3,sweet_0_to_3,outcome_0_to_3,golden_3_to_6,can_3_to_6,sweet_3_to_6,outcome_3_to_6,golden_6_to_9,can_6_to_9,sweet_6_to_9,outcome_6_to_9,golden_9_to_12,can_9_to_12,sweet_9_to_12,outcome_9_to_12,golden_12_to_15,can_12_to_15,sweet_12_to_15,outcome_12_to_15,golden_15_to_18,can_15_to_18,sweet_15_to_18,outcome_15_to_18,golden_18_to_21,can_18_to_21,sweet_18_to_21,outcome_18_to_21,golden_21_to_24,can_21_to_24,sweet_21_to_24,outcome_21_to_24
0,1545929878,2.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1545930646,,,,2,,,Outside ,True,False,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1545943282,2.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1545948608,,,,2,,,Outside ,True,False,14.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1545948875,,,,,,,Jake got 2 gabapentin at lunch and 2 at 2pm. Oops!,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1545962400,1.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1545965495,,,,2,,,Outside,True,False,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1545987112,,,,2,,,,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1546010657,,,,2,True,True,Eat some ,True,False,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0
9,1546015204,2.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1546015771,,,,3,,True,Inside,True,False,8.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
11,1546015780,,,,2,,,Outside ,True,False,8.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
12,1546031859,1.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1546032430,,,,2,,,Outside ,True,False,13.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0
14,1546052141,,,,2,True,,,True,False,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15,1546052898,2.0,,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1546053669,,,,0,,,,True,False,19.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17,1546054038,,1.0,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1546058637,,,,3,,,,True,False,20.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19,1546067306,,,,0,,,,True,False,23.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
20,1546097635,,,,2,True,,,True,False,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0
21,1546097958,,,,3,True,,,True,False,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0
22,1546101440,2.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1546101877,,,,2,,,Wet poop,True,False,8.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0
24,1546112942,,,,0,,,,True,False,11.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
25,1546119583,1.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1546120372,,,,3,,,,True,False,13.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
27,1546129459,,,,0,,,,True,False,16.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0
28,1546145871,,,,2,True,,,True,False,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1546146460,2.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1546147078,,,,0,,,,True,False,21.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1546154187,,,,3,,,,True,False,23.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1546167244,,,,0,True,,,True,False,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0
33,1546184491,,,,3,True,,,True,False,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0
34,1546189738,2.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1546190362,,,,2,,,,True,False,9.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
36,1546192180,,,,0,,,,True,False,9.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
37,1546209934,,,,3,True,True,,True,False,14.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1546210095,,,,2,True,,,True,False,14.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1546213285,1.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1546216912,,,,0,,,,True,False,16.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
41,1546224172,,,,3,,,Poop was a bit wet,True,False,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0
42,1546231027,2.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1546231386,,,,3,,,A little wet,True,False,20.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0
44,1546243579,,,,0,,,,True,False,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1546275140,,,,2,True,True,He got himself downstairs during the night. Not sure when,True,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0
46,1546275150,,,,3,True,,,True,False,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0
47,1546283263,2.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1546283834,,,,2,,,,True,False,11.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
49,1546294075,1.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1546294523,,,,0,,,,True,False,14.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0
51,1546305691,,,,3,,,,True,False,17.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0
52,1546309357,2.0,1.0,1.0,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1546309732,,,,0,,,,True,False,18.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0
54,1546313039,,,,0,,,,True,False,19.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0
